hero1,hero2,hero3,hero4,hero5,result
29,52,67,81,122,1
1,32,104,114,119,0
12,34,99,104,116,0
24,33,77,94,104,1
12,32,41,102,118,1
26,61,77,92,116,1
23,72,99,104,114,1
24,33,35,56,72,1
15,24,32,67,75,0
26,29,33,43,122,1
23,63,64,104,119,1
18,22,42,94,122,0
8,24,61,104,116,1
11,33,52,72,119,1
1,23,64,72,104,1
23,29,72,74,81,1
16,56,74,78,81,1
33,43,64,107,119,1
15,16,30,81,115,1
9,22,24,87,122,1
1,23,27,72,119,1
33,77,92,99,101,1
16,30,65,81,110,1
22,31,87,117,122,0
23,24,45,100,104,1
44,52,56,104,119,1
16,30,66,110,115,1
2,7,52,56,77,1
23,29,72,81,94,1
75,81,96,104,121,1
12,16,32,107,113,1
24,30,33,35,122,1
16,24,45,107,110,1
1,43,72,90,92,0
8,56,78,94,113,1
1,23,72,81,104,1
19,73,75,102,104,1
22,30,33,35,96,1
16,77,78,83,113,1
23,44,63,81,107,0
6,24,30,63,102,0
15,29,41,45,81,0
23,34,100,104,122,1
35,47,48,104,114,0
53,56,57,70,114,0
26,48,76,77,91,0
14,16,28,32,67,1
16,47,57,83,99,0
67,72,86,109,112,1
23,24,64,72,76,1
25,34,49,50,104,1
34,62,75,77,104,1
8,16,21,61,76,1
30,41,47,76,97,1
13,25,56,86,96,1
22,56,78,88,93,1
18,46,47,63,109,0
14,48,49,50,76,1
1,42,67,86,111,0
23,34,52,72,107,0
24,48,61,104,122,0
16,45,61,90,92,1
28,30,32,109,114,1
28,60,72,90,109,0
5,25,47,49,56,1
11,41,47,95,97,1
25,32,76,82,114,0
34,45,92,100,104,0
26,31,79,83,91,1
43,55,60,87,109,1
31,32,55,74,87,1
36,73,77,83,84,1
3,8,23,81,83,1
8,11,52,61,89,1
8,23,45,58,83,0
3,27,30,36,75,1
3,55,81,83,88,0
14,36,53,75,77,1
83,14,35,75,81,1
14,23,35,50,83,1
23,39,62,84,107,1
8,31,71,83,100,1
31,50,55,87,100,1
31,75,77,84,100,1
11,14,45,62,83,0
3,36,77,84,107,1
20,29,32,35,42,1
11,25,44,73,104,0
11,14,23,53,81,1
23,27,31,83,100,1
23,50,53,84,107,0
14,23,73,81,83,0
14,35,42,83,102,1
11,23,45,55,106,0
31,45,55,73,87,1
11,25,37,41,71,1
3,45,55,107,116,0
14,25,71,83,117,1
11,36,58,87,91,1
27,42,75,81,84,1
35,42,71,81,107,1
14,25,45,107,117,1
107,37,41,50,81,1
14,42,53,77,83,1
11,25,53,97,117,1
23,29,70,100,101,1
14,23,45,73,83,1
48,71,101,107,117,0
48,53,77,101,107,0
35,53,70,104,107,1
